regime,dataset_seed,T,tau,dimension,bad_coordinate,eta,radius_r,empirical_risk,population_lower_certificate,lower_scale_eta2_r2_T,certificate_to_lower_scale,suffix_norm
saturated_eta_r_sqrtT,6,128,6,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.020524628542760874,0.24999999999999994,0.08209851417104351,0.28652992334111227
saturated_eta_r_sqrtT,6,128,7,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.020831960683698386,0.24999999999999994,0.08332784273479356,0.2886671535412606
saturated_eta_r_sqrtT,6,128,8,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.021139292925354474,0.24999999999999994,0.08455717170141791,0.29078867670567593
saturated_eta_r_sqrtT,6,128,9,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.021446625270349934,0.24999999999999994,0.08578650108139975,0.2928948341644488
saturated_eta_r_sqrtT,6,128,10,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.021753957721290088,0.24999999999999994,0.08701583088516036,0.29498595506223774
saturated_eta_r_sqrtT,6,128,11,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.02206129028086843,0.24999999999999994,0.08824516112347373,0.2970623569594335
saturated_eta_r_sqrtT,6,128,12,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.02236862295187057,0.24999999999999994,0.08947449180748229,0.29912434639511115
saturated_eta_r_sqrtT,6,128,13,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.02267595573717815,0.24999999999999994,0.09070382294871261,0.301172219415292
saturated_eta_r_sqrtT,6,128,14,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.02298328863977305,0.24999999999999994,0.09193315455909222,0.30320626206909446
saturated_eta_r_sqrtT,6,128,15,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.023290621662741786,0.24999999999999994,0.09316248665096716,0.3052267508751278
saturated_eta_r_sqrtT,6,128,16,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.023597954809280113,0.24999999999999994,0.09439181923712048,0.3072339532602812
saturated_eta_r_sqrtT,6,128,17,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.023905288082697953,0.24999999999999994,0.09562115233079184,0.30922812797288024
saturated_eta_r_sqrtT,6,128,18,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.024212621486424446,0.24999999999999994,0.09685048594569781,0.31120952547201697
saturated_eta_r_sqrtT,6,128,19,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.0245199550240135,0.24999999999999994,0.09807982009605402,0.31317838829471323
saturated_eta_r_sqrtT,6,128,20,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.024827288699149384,0.24999999999999994,0.09930915479659756,0.3151349514024392
saturated_eta_r_sqrtT,6,128,21,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.025134622515652842,0.24999999999999994,0.1005384900626114,0.31707944250839026
saturated_eta_r_sqrtT,6,128,22,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.025441956477487468,0.24999999999999994,0.1017678259099499,0.3190120823868119
saturated_eta_r_sqrtT,6,128,23,8193,11,0.041666666666666664,1.0606601717798212,0.0,0.025749290588766398,0.24999999999999994,0.10299716235506562,0.32093308516556185
