regime,dataset_seed,sampling_attempts,n,T,dimension,bad_coordinate,eta,beta,radius_r,eta_r_sqrtT,theorem_radius_condition,initial_gradient_norm,min_nonzero_gradient_norm,first_update_gate,chain_gate,unit_ball_gate,max_iterate_norm,wstar_empirical_risk,max_suffix_empirical_risk,sam_empirical_upper_envelope,min_suffix_population_lower_certificate,max_suffix_population_lower_certificate,min_certificate_to_lower_scale,lower_scale_eta2_r2_T
saturated_eta_r_sqrtT,8,1,6,16,1025,14,0.041666666666666664,6.0,3.0,0.5,True,4.660737735777299e-16,4.660737735777299e-16,True,True,True,0.45532012200838307,0.0,0.0,216.0000000000002,0.014683771733982783,0.051827337953559746,0.05873508693593113,0.25
saturated_eta_r_sqrtT,9,1,6,16,1025,32,0.041666666666666664,6.0,3.0,0.5,True,5.006116719157509e-16,5.006116719157509e-16,True,True,True,0.45532011943883793,0.0,0.0,216.0000000000002,0.014683771181653097,0.051827337355577804,0.05873508472661239,0.25
saturated_eta_r_sqrtT,0,3,6,32,2049,21,0.041666666666666664,6.0,2.1213203435596424,0.5,True,1.4435662368438652e-17,1.4435662368438652e-17,True,True,True,0.47081992202899975,0.0,0.0,107.99999999999997,0.01706096576018733,0.05541696698331569,0.06824386304074934,0.24999999999999994
saturated_eta_r_sqrtT,1,3,6,32,2049,15,0.041666666666666664,6.0,2.1213203435596424,0.5,True,1.5068721492001057e-17,1.5068721492001057e-17,True,True,True,0.4708199216468063,0.0,0.0,107.99999999999997,0.017060965671126065,0.05541696689134845,0.06824386268450428,0.24999999999999994
saturated_eta_r_sqrtT,2,4,6,32,2049,2,0.041666666666666664,6.0,2.1213203435596424,0.5,True,1.5461957496428655e-17,1.5461957496428655e-17,True,True,True,0.4708199214251575,0.0,0.0,107.99999999999997,0.01706096561947595,0.05541696683801304,0.06824386247790382,0.24999999999999994
saturated_eta_r_sqrtT,3,1,6,32,2049,6,0.041666666666666664,6.0,2.1213203435596424,0.5,True,1.450478047975113e-17,1.450478047975113e-17,True,True,True,0.4708199219856492,0.0,0.0,107.99999999999997,0.017060965750085474,0.055416966972884216,0.06824386300034191,0.24999999999999994
saturated_eta_r_sqrtT,4,2,6,32,2049,2,0.041666666666666664,6.0,2.1213203435596424,0.5,True,1.528844889827829e-17,1.528844889827829e-17,True,True,True,0.47081992152155067,0.0,0.0,107.99999999999997,0.01706096564193815,0.05541696686120816,0.06824386256775261,0.24999999999999994
saturated_eta_r_sqrtT,5,4,6,32,2049,28,0.041666666666666664,6.0,2.1213203435596424,0.5,True,1.5035628445295442e-17,1.5035628445295442e-17,True,True,True,0.47081992166598835,0.0,0.0,107.99999999999997,0.01706096567559596,0.05541696689596419,0.06824386270238385,0.24999999999999994
saturated_eta_r_sqrtT,6,1,6,32,2049,11,0.041666666666666664,6.0,2.1213203435596424,0.5,True,1.5134948832213085e-17,1.5134948832213085e-17,True,True,True,0.4708199216086706,0.0,0.0,107.99999999999997,0.017060965662239407,0.055416966882171834,0.06824386264895764,0.24999999999999994
saturated_eta_r_sqrtT,7,3,6,32,2049,53,0.041666666666666664,6.0,2.1213203435596424,0.5,True,1.5655059096189538e-17,1.5655059096189538e-17,True,True,True,0.4708199213203915,0.0,0.0,107.99999999999997,0.01706096559506267,0.05541696681280317,0.0682438623802507,0.24999999999999994
