n,dimension,dataset_seed,sampling_attempts,unseen_coordinate,unseen_coordinate_count,rho,radius_r,regime,flat_empirical_risk,flat_saer_exact,global_saer_lower_exact,flat_population_risk_exact,flat_population_risk_mc_8192,flat_population_mc_se,sharp_population_risk_exact,population_gap_exact,flat_is_saer_minimizer,flat_is_r_flat_when_r_le_rho
6,65,6,1,32,1,0.5,0.5,at_flat_radius,0.0,0.0,0.0,0.0625,0.0635833740234375,0.0006904723612437193,0.0,0.0625,True,True
6,65,6,1,32,1,0.5,0.7,outside_flat_basin,0.0,0.01999999999999999,0.01999999999999999,0.0625,0.0635833740234375,0.0006904723612437193,0.0,0.0625,True,False
6,65,7,1,17,2,0.0,0.0,inside_flat_basin,0.0,0.0,0.0,0.25,0.24932861328125,0.002762294505728563,0.0,0.25,True,True
6,65,7,1,17,2,0.0,0.0,at_flat_radius,0.0,0.0,0.0,0.25,0.24932861328125,0.002762294505728563,0.0,0.25,True,True
6,65,7,1,17,2,0.0,0.2,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.25,0.24932861328125,0.002762294505728563,0.0,0.25,True,False
6,65,7,1,17,2,0.1,0.05,inside_flat_basin,0.0,0.0,0.0,0.2025,0.20195617675781258,0.0022374585496401363,0.0,0.2025,True,True
6,65,7,1,17,2,0.1,0.1,at_flat_radius,0.0,0.0,0.0,0.2025,0.20195617675781258,0.0022374585496401363,0.0,0.2025,True,True
6,65,7,1,17,2,0.1,0.30000000000000004,outside_flat_basin,0.0,0.020000000000000007,0.020000000000000007,0.2025,0.20195617675781258,0.0022374585496401363,0.0,0.2025,True,False
6,65,7,1,17,2,0.25,0.125,inside_flat_basin,0.0,0.0,0.0,0.140625,0.14024734497070312,0.0015537906594723166,0.0,0.140625,True,True
6,65,7,1,17,2,0.25,0.25,at_flat_radius,0.0,0.0,0.0,0.140625,0.14024734497070312,0.0015537906594723166,0.0,0.140625,True,True
6,65,7,1,17,2,0.25,0.45,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.140625,0.14024734497070312,0.0015537906594723166,0.0,0.140625,True,False
6,65,7,1,17,2,0.5,0.25,inside_flat_basin,0.0,0.0,0.0,0.0625,0.0623321533203125,0.0006905736264321407,0.0,0.0625,True,True
6,65,7,1,17,2,0.5,0.5,at_flat_radius,0.0,0.0,0.0,0.0625,0.0623321533203125,0.0006905736264321407,0.0,0.0625,True,True
6,65,7,1,17,2,0.5,0.7,outside_flat_basin,0.0,0.01999999999999999,0.01999999999999999,0.0625,0.0623321533203125,0.0006905736264321407,0.0,0.0625,True,False
6,65,8,1,47,1,0.0,0.0,inside_flat_basin,0.0,0.0,0.0,0.25,0.25213623046875,0.002762203619216192,0.0,0.25,True,True
6,65,8,1,47,1,0.0,0.0,at_flat_radius,0.0,0.0,0.0,0.25,0.25213623046875,0.002762203619216192,0.0,0.25,True,True
6,65,8,1,47,1,0.0,0.2,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.25,0.25213623046875,0.002762203619216192,0.0,0.25,True,False
6,65,8,1,47,1,0.1,0.05,inside_flat_basin,0.0,0.0,0.0,0.2025,0.2042303466796876,0.002237384931565116,0.0,0.2025,True,True
6,65,8,1,47,1,0.1,0.1,at_flat_radius,0.0,0.0,0.0,0.2025,0.2042303466796876,0.002237384931565116,0.0,0.2025,True,True
6,65,8,1,47,1,0.1,0.30000000000000004,outside_flat_basin,0.0,0.020000000000000007,0.020000000000000007,0.2025,0.2042303466796876,0.002237384931565116,0.0,0.2025,True,False
6,65,8,1,47,1,0.25,0.125,inside_flat_basin,0.0,0.0,0.0,0.140625,0.14182662963867188,0.0015537395358091082,0.0,0.140625,True,True
6,65,8,1,47,1,0.25,0.25,at_flat_radius,0.0,0.0,0.0,0.140625,0.14182662963867188,0.0015537395358091082,0.0,0.140625,True,True
6,65,8,1,47,1,0.25,0.45,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.140625,0.14182662963867188,0.0015537395358091082,0.0,0.140625,True,False
6,65,8,1,47,1,0.5,0.25,inside_flat_basin,0.0,0.0,0.0,0.0625,0.0630340576171875,0.000690550904804048,0.0,0.0625,True,True
6,65,8,1,47,1,0.5,0.5,at_flat_radius,0.0,0.0,0.0,0.0625,0.0630340576171875,0.000690550904804048,0.0,0.0625,True,True
6,65,8,1,47,1,0.5,0.7,outside_flat_basin,0.0,0.01999999999999999,0.01999999999999999,0.0625,0.0630340576171875,0.000690550904804048,0.0,0.0625,True,False
6,65,9,3,6,3,0.0,0.0,inside_flat_basin,0.0,0.0,0.0,0.25,0.24945068359375,0.002762297798662005,0.0,0.25,True,True
6,65,9,3,6,3,0.0,0.0,at_flat_radius,0.0,0.0,0.0,0.25,0.24945068359375,0.002762297798662005,0.0,0.25,True,True
6,65,9,3,6,3,0.0,0.2,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.25,0.24945068359375,0.002762297798662005,0.0,0.25,True,False
6,65,9,3,6,3,0.1,0.05,inside_flat_basin,0.0,0.0,0.0,0.2025,0.20205505371093757,0.002237461216916224,0.0,0.2025,True,True
6,65,9,3,6,3,0.1,0.1,at_flat_radius,0.0,0.0,0.0,0.2025,0.20205505371093757,0.002237461216916224,0.0,0.2025,True,True
6,65,9,3,6,3,0.1,0.30000000000000004,outside_flat_basin,0.0,0.020000000000000007,0.020000000000000007,0.2025,0.20205505371093757,0.002237461216916224,0.0,0.2025,True,False
6,65,9,3,6,3,0.25,0.125,inside_flat_basin,0.0,0.0,0.0,0.140625,0.14031600952148438,0.0015537925117473778,0.0,0.140625,True,True
6,65,9,3,6,3,0.25,0.25,at_flat_radius,0.0,0.0,0.0,0.140625,0.14031600952148438,0.0015537925117473778,0.0,0.140625,True,True
6,65,9,3,6,3,0.25,0.45,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.140625,0.14031600952148438,0.0015537925117473778,0.0,0.140625,True,False
6,65,9,3,6,3,0.5,0.25,inside_flat_basin,0.0,0.0,0.0,0.0625,0.0623626708984375,0.0006905744496655012,0.0,0.0625,True,True
6,65,9,3,6,3,0.5,0.5,at_flat_radius,0.0,0.0,0.0,0.0625,0.0623626708984375,0.0006905744496655012,0.0,0.0625,True,True
6,65,9,3,6,3,0.5,0.7,outside_flat_basin,0.0,0.01999999999999999,0.01999999999999999,0.0625,0.0623626708984375,0.0006905744496655012,0.0,0.0625,True,False
6,65,10,1,15,3,0.0,0.0,inside_flat_basin,0.0,0.0,0.0,0.25,0.24761962890625,0.0027621792505849187,0.0,0.25,True,True
6,65,10,1,15,3,0.0,0.0,at_flat_radius,0.0,0.0,0.0,0.25,0.24761962890625,0.0027621792505849187,0.0,0.25,True,True
6,65,10,1,15,3,0.0,0.2,outside_flat_basin,0.0,0.020000000000000004,0.020000000000000004,0.25,0.24761962890625,0.0027621792505849187,0.0,0.25,True,False
